PID   USER     COMMAND
 6408 dhcpcd   dhcpcd: [DHCP6 proxy] 2600:1702:73a0:5c10:f78c:4cd9:280a:7a8d
 6554 dhcpcd   dhcpcd: [BOOTP proxy] 192.168.1.94
 6657 root     {keepalive.sh} /bin/sh /opt/muos/script/web/keepalive.sh
 6679 root     /opt/sftpgo/sftpgo serve -c /opt/sftpgo
 6687 root     /opt/muos/bin/ttyd --port 8080 --url-arg --writable /bin/sh
 6697 root     /opt/muos/bin/tailscaled
 6705 root     {ntp.sh} /bin/sh /opt/muos/script/web/ntp.sh
 6760 root     sshd: /opt/openssh/sbin/sshd [listener] 0 of 10-100 startups
 7763 root     [kworker/2:0]
12054 root     [kworker/3:0]
12264 root     [kworker/3:2]
16190 root     [kworker/1:0]
16342 root     /bin/sh -
16631 root     /bin/sh -
19055 root     [kworker/0:1]
20331 root     /bin/sh -
23823 root     /bin/sh -
24288 root     /opt/muos/frontend/muhotkey /opt/muos/device/control/hotkey.json
26376 root     [kworker/1:2]
27187 root     [kworker/u8:1]
27363 root     [kworker/0:2]
27383 root     [kworker/u8:3]
31379 root     [kworker/3:3]
